日,TensorFlow: (日本),PyTorch: (日本),Keras: (日本),Caffe: (日本),Deeplearning4j: (日本)
2016/11/27,0,28,23,0,0
2016/11/28,0,0,0,0,0
2016/11/29,17,0,0,34,0
2016/11/30,0,0,0,36,18
2016/12/1,0,0,0,0,0
2016/12/2,0,0,0,0,0
2016/12/3,0,0,0,28,0
2016/12/4,26,0,0,0,30
2016/12/5,0,0,0,0,39
2016/12/6,21,0,0,0,0
2016/12/7,0,0,32,0,0
2016/12/8,0,52,0,19,0
2016/12/9,0,0,0,0,0
2016/12/10,19,0,0,0,0
2016/12/11,0,0,19,39,0
2016/12/12,0,0,0,0,0
2016/12/13,0,0,0,26,0
2016/12/14,18,0,38,0,0
2016/12/15,0,0,0,0,0
2016/12/16,0,0,0,0,0
2016/12/17,0,0,0,37,30
2016/12/18,0,0,0,0,0
2016/12/19,16,17,0,0,0
2016/12/20,0,0,0,0,0
2016/12/21,0,41,0,0,0
2016/12/22,0,0,0,0,0
2016/12/23,40,0,0,0,19
2016/12/24,53,0,0,0,45
2016/12/25,0,0,27,0,0
2016/12/26,0,0,0,0,0
2016/12/27,38,21,0,18,0
2016/12/28,19,0,0,0,0
2016/12/29,0,68,55,48,0
2016/12/30,0,0,0,35,61
2016/12/31,0,0,0,0,0
2017/1/1,0,0,0,0,0
2017/1/2,0,31,33,0,0
2017/1/3,0,26,0,27,0
2017/1/4,0,0,0,0,0
2017/1/5,0,40,0,0,0
2017/1/6,0,0,0,41,0
2017/1/7,0,0,21,0,0
2017/1/8,0,0,22,0,0
2017/1/9,0,0,0,0,32
2017/1/10,0,0,0,0,22
2017/1/11,0,0,0,0,0
2017/1/12,0,34,0,45,0
2017/1/13,0,0,0,0,48
2017/1/14,0,0,0,0,0
2017/1/15,0,0,0,0,0
2017/1/16,0,0,26,0,0
2017/1/17,0,0,0,0,0
2017/1/18,0,0,0,0,0
2017/1/19,27,0,0,0,0
2017/1/20,48,19,0,0,0
2017/1/21,0,0,26,0,0
2017/1/22,0,0,0,0,0
2017/1/23,0,0,0,0,0
2017/1/24,0,0,22,19,0
2017/1/25,0,0,0,56,0
2017/1/26,0,0,0,0,0
2017/1/27,0,0,0,0,0
2017/1/28,0,0,0,56,79
2017/1/29,0,0,0,0,0
2017/1/30,0,25,0,0,0
2017/1/31,0,49,0,0,0
2017/2/1,0,0,0,0,0
2017/2/2,0,0,0,0,37
2017/2/3,19,20,22,0,0
2017/2/4,28,0,0,22,0
2017/2/5,0,0,0,0,0
2017/2/6,24,20,0,24,0
2017/2/7,0,0,0,0,0
2017/2/8,0,0,0,0,0
2017/2/9,0,23,0,0,0
2017/2/10,0,17,0,18,44
2017/2/11,0,0,62,0,0
2017/2/12,0,0,0,0,19
2017/2/13,17,0,0,0,0
2017/2/14,0,0,18,0,30
2017/2/15,0,0,0,0,25
2017/2/16,0,0,0,60,0
2017/2/17,0,0,0,0,0
2017/2/18,64,0,0,17,22
2017/2/19,23,21,22,0,0
2017/2/20,0,0,0,0,26
2017/2/21,20,0,18,0,0
2017/2/22,0,31,41,0,0
2017/2/23,81,25,26,0,0
2017/2/24,0,0,0,28,0
2017/2/25,19,0,0,26,0
2017/2/26,0,0,0,0,0
2017/2/27,0,0,0,0,0
2017/2/28,43,0,0,0,0
2017/3/1,0,0,0,0,0
2017/3/2,28,29,31,0,0
2017/3/3,0,0,0,0,0
2017/3/4,0,0,46,26,0
2017/3/5,0,0,21,0,0
2017/3/6,0,0,0,0,0
2017/3/7,0,43,16,0,41
2017/3/8,0,0,53,0,0
2017/3/9,47,0,0,0,18
2017/3/10,0,0,0,0,60
2017/3/11,0,0,0,0,0
2017/3/12,0,34,0,0,0
2017/3/13,0,0,17,0,0
2017/3/14,0,0,43,0,70
2017/3/15,0,0,0,0,0
2017/3/16,0,31,0,0,0
2017/3/17,0,0,0,0,0
2017/3/18,0,0,18,19,0
2017/3/19,0,0,36,0,0
2017/3/20,0,0,19,38,0
2017/3/21,0,0,0,0,0
2017/3/22,0,0,30,0,0
2017/3/23,0,38,0,0,0
2017/3/24,0,0,0,0,0
2017/3/25,22,0,0,22,0
2017/3/26,0,0,0,18,0
2017/3/27,31,0,24,0,0
2017/3/28,0,0,0,0,0
2017/3/29,0,61,19,0,0
2017/3/30,0,0,0,0,0
2017/3/31,0,66,0,0,28
2017/4/1,0,0,0,0,0
2017/4/2,52,0,0,0,0
2017/4/3,38,0,36,25,27
2017/4/4,61,0,0,0,0
2017/4/5,0,0,17,0,0
2017/4/6,0,0,0,0,0
2017/4/7,30,0,0,0,0
2017/4/8,0,36,0,0,0
2017/4/9,0,0,0,0,0
2017/4/10,26,0,52,0,0
2017/4/11,36,0,0,0,0
2017/4/12,32,0,0,0,0
2017/4/13,33,0,0,0,0
2017/4/14,0,0,0,25,24
2017/4/15,0,0,0,0,0
2017/4/16,0,0,0,0,0
2017/4/17,0,0,33,0,21
2017/4/18,0,18,0,0,0
2017/4/19,0,0,0,0,0
2017/4/20,0,0,36,0,27
2017/4/21,25,0,0,0,0
2017/4/22,0,0,0,0,0
2017/4/23,0,0,0,19,37
2017/4/24,48,0,0,0,0
2017/4/25,0,26,0,0,0
2017/4/26,0,0,0,0,19
2017/4/27,31,0,18,0,0
2017/4/28,0,0,0,0,0
2017/4/29,0,0,0,18,0
2017/4/30,24,0,0,50,0
2017/5/1,20,38,0,0,0
2017/5/2,30,0,0,0,0
2017/5/3,0,0,0,0,32
2017/5/4,35,0,0,0,0
2017/5/5,89,16,19,0,0
2017/5/6,0,0,0,0,0
2017/5/7,0,0,0,0,0
2017/5/8,0,0,0,0,0
2017/5/9,0,0,41,0,0
2017/5/10,0,0,0,0,0
2017/5/11,0,0,0,0,0
2017/5/12,0,17,0,0,0
2017/5/13,0,0,0,17,0
2017/5/14,0,0,0,0,19
2017/5/15,0,0,0,53,0
2017/5/16,0,0,0,0,21
2017/5/17,0,0,32,0,0
2017/5/18,22,0,0,24,0
2017/5/19,0,0,0,0,0
2017/5/20,0,0,0,0,0
2017/5/21,0,17,0,0,0
2017/5/22,0,0,21,0,0
2017/5/23,20,0,0,0,0
2017/5/24,0,0,0,0,0
2017/5/25,0,21,0,0,0
2017/5/26,0,0,23,0,19
2017/5/27,0,0,92,0,0
2017/5/28,0,0,50,0,0
2017/5/29,25,0,0,0,38
2017/5/30,0,0,0,45,0
2017/5/31,21,0,0,0,100
2017/6/1,22,27,0,0,0
2017/6/2,0,0,0,0,0
2017/6/3,0,0,70,0,0
2017/6/4,0,0,21,0,0
2017/6/5,25,49,0,39,0
2017/6/6,0,0,60,0,0
2017/6/7,16,0,0,0,0
2017/6/8,0,0,50,0,0
2017/6/9,37,0,0,0,0
2017/6/10,0,0,0,0,0
2017/6/11,0,33,0,28,0
2017/6/12,31,0,0,0,0
2017/6/13,29,28,0,0,0
2017/6/14,72,0,0,25,0
2017/6/15,0,0,48,0,0
2017/6/16,0,0,0,0,0
2017/6/17,39,0,0,0,0
2017/6/18,0,0,0,0,0
2017/6/19,0,0,0,0,0
2017/6/20,0,0,19,0,0
2017/6/21,19,0,0,0,0
2017/6/22,24,0,0,0,24
2017/6/23,0,0,0,0,49
2017/6/24,0,0,0,39,0
2017/6/25,0,22,0,0,0
2017/6/26,0,0,0,0,0
2017/6/27,20,28,76,44,59
2017/6/28,34,0,0,0,0
2017/6/29,20,0,57,0,16
2017/6/30,0,35,0,0,0
2017/7/1,0,0,0,0,0
2017/7/2,0,0,0,0,0
2017/7/3,0,0,16,0,0
2017/7/4,0,0,0,0,0
2017/7/5,0,0,0,16,0
2017/7/6,0,0,0,0,28
2017/7/7,21,31,0,0,0
2017/7/8,28,0,0,0,22
2017/7/9,0,14,18,0,0
2017/7/10,0,0,0,0,0
2017/7/11,0,0,37,0,0
2017/7/12,0,0,0,19,0
2017/7/13,0,0,20,0,0
2017/7/14,0,0,0,24,0
2017/7/15,0,29,0,18,0
2017/7/16,0,0,0,0,0
2017/7/17,0,0,0,13,0
2017/7/18,15,0,0,18,0
2017/7/19,0,0,30,0,0
2017/7/20,0,0,0,0,0
2017/7/21,0,0,0,0,0
2017/7/22,0,49,0,0,0
2017/7/23,0,0,0,0,0
2017/7/24,0,0,0,40,0
2017/7/25,0,0,0,0,43
2017/7/26,0,0,0,0,0
2017/7/27,41,0,0,0,0
2017/7/28,37,14,0,51,0
2017/7/29,14,0,14,0,26
2017/7/30,0,0,0,0,0
2017/7/31,0,0,0,0,21
2017/8/1,0,13,0,0,0
2017/8/2,0,0,0,0,0
2017/8/3,0,13,0,32,0
2017/8/4,0,0,0,0,0
2017/8/5,0,0,25,23,0
2017/8/6,0,0,28,0,15
2017/8/7,0,0,0,0,0
2017/8/8,15,0,0,0,48
2017/8/9,0,0,13,0,0
2017/8/10,0,0,21,0,0
2017/8/11,0,0,28,0,0
2017/8/12,0,22,0,17,0
2017/8/13,0,0,51,0,13
2017/8/14,0,0,0,0,0
2017/8/15,0,0,13,17,0
2017/8/16,0,0,0,0,0
2017/8/17,0,0,0,0,0
2017/8/18,0,0,17,0,0
2017/8/19,0,0,0,0,0
2017/8/20,0,0,0,15,0
2017/8/21,0,22,0,0,13
2017/8/22,0,19,25,30,0
2017/8/23,0,0,12,12,0
2017/8/24,26,36,19,0,0
2017/8/25,0,0,0,0,14
2017/8/26,0,0,0,0,0
2017/8/27,0,0,0,0,0
2017/8/28,21,0,0,0,0
2017/8/29,0,12,0,0,0
2017/8/30,20,0,17,0,0
2017/8/31,14,0,0,0,0
2017/9/1,0,0,0,0,0
2017/9/2,0,21,0,0,0
2017/9/3,0,0,0,0,0
2017/9/4,0,0,0,30,0
2017/9/5,18,0,0,0,14
2017/9/6,0,0,0,0,0
2017/9/7,27,0,0,0,0
2017/9/8,15,0,0,0,0
2017/9/9,0,0,0,0,19
2017/9/10,0,0,0,0,0
2017/9/11,16,19,0,0,0
2017/9/12,0,0,0,0,0
2017/9/13,35,0,56,0,16
2017/9/14,0,0,0,0,0
2017/9/15,0,0,16,0,0
2017/9/16,0,19,0,0,0
2017/9/17,0,13,0,0,0
2017/9/18,34,0,16,17,0
2017/9/19,0,0,0,0,14
2017/9/20,100,0,19,0,0
2017/9/21,27,0,0,13,0
2017/9/22,0,0,0,0,0
2017/9/23,0,0,0,0,0
2017/9/24,0,20,0,0,0
2017/9/25,15,0,0,0,0
2017/9/26,25,0,0,0,0
2017/9/27,0,25,21,0,0
2017/9/28,46,0,0,0,0
2017/9/29,0,0,0,13,0
2017/9/30,0,0,0,15,0
2017/10/1,0,0,0,0,15
2017/10/2,0,0,0,0,0
2017/10/3,20,0,0,0,0
2017/10/4,0,0,0,0,0
2017/10/5,0,0,0,15,0
2017/10/6,0,0,0,0,0
2017/10/7,0,0,0,0,0
2017/10/8,0,0,0,0,0
2017/10/9,0,0,0,0,0
2017/10/10,14,0,0,0,0
2017/10/11,0,0,0,0,0
2017/10/12,0,0,15,30,0
2017/10/13,16,0,0,0,0
2017/10/14,0,0,20,47,0
2017/10/15,0,27,0,0,42
2017/10/16,0,0,14,28,0
2017/10/17,19,0,29,0,0
2017/10/18,0,0,0,24,14
2017/10/19,35,0,0,0,20
2017/10/20,0,0,15,0,40
2017/10/21,13,0,0,40,0
2017/10/22,0,0,0,23,0
2017/10/23,0,45,0,16,0
2017/10/24,0,0,0,0,0
2017/10/25,56,0,38,0,0
2017/10/26,0,0,14,0,19
2017/10/27,0,0,0,0,0
2017/10/28,0,0,0,0,0
2017/10/29,0,0,13,0,24
2017/10/30,0,0,0,0,25
2017/10/31,24,15,0,0,0
2017/11/1,26,0,15,23,0
2017/11/2,26,0,0,0,0
2017/11/3,0,0,0,0,0
2017/11/4,0,0,0,0,14
2017/11/5,32,0,0,0,19
2017/11/6,20,0,13,0,0
2017/11/7,0,0,0,24,23
2017/11/8,0,0,0,40,0
2017/11/9,0,0,0,0,0
2017/11/10,26,0,0,0,0
2017/11/11,0,36,0,0,19
2017/11/12,0,0,0,0,0
2017/11/13,0,0,0,0,0
2017/11/14,0,0,0,0,0
